image_path,target,split,image_base,status,sidewalk_pos,road_pos,Object_present,Object_present_outside,m_bicycle,m_car,m_person,m_traffic_sign,traffic_light,m_obstacle,m_grass,m_plants,m_trees,m_bicycle_outside,m_car_outside,m_person_outside,m_traffic_sign_outside,traffic_light_outside,m_obstacle_outside,m_grass_outside,m_plants_outside,m_trees_outside,priority_caption
testing/images/0092.jpg,"The sidewalk is centered in the view, bordered by a building on the right and a road on the left. A parking ticket machine stands 2 meters ahead on the left side. A construction barrier is positioned approximately 5 meters ahead on the right side. The path is clear for navigation.",test,0092.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Left-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: left. RoadVsSidewalk: left_of. Nearby: 2 obstacles close on the left and center. Context: The sidewalk is centered in the view, bordered by a building on the right and a road on the left. A parking ticket machine stands 2 meters ahead on the left side. A construction barrier is positioned approximately 5 meters ahead on the right side. The path is clear for navigation."
testing/images/0113.jpg,"The cobblestone sidewalk is centered, bordered by outdoor seating with blue umbrellas on the right side. A building entrance is on the left, 5 meters ahead. The path is clear for navigation.",test,0113.jpg,done,Left,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,Right,"Sidewalk: left. Road: unknown. RoadVsSidewalk: unknown. Nearby: no important close objects visible. Far: an obstacle farther away on the right. Context: The cobblestone sidewalk is centered, bordered by outdoor seating with blue umbrellas on the right side. A building entrance is on the left, 5 meters ahead. The path is clear for navigation."
testing/images/0114.jpg,"The cobblestone street is centered, bordered by buildings on both sides. A row of bicycles is parked on the left side, 5 meters ahead. The sidewalk is 1 meter to the right, path is clear for next 10 meters.",test,0114.jpg,done,Center,Not present,Yes,No,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: a bicycle close on the left. Context: The cobblestone street is centered, bordered by buildings on both sides. A row of bicycles is parked on the left side, 5 meters ahead. The sidewalk is 1 meter to the right, path is clear for next 10 meters."
testing/images/0122.jpg,"The sidewalk is centered in the view, bordered by a modern white building with large glass windows on the left and a red brick building on the right. A lamppost stands approximately 5 meters ahead on the right side. The path is clear for next 10 meters.",test,0122.jpg,done,Left,Right,Yes,Yes,not present,Center,not present,not present,not present,Center,not present,Right,not present,not present,Left,not present,not present,not present,Right,not present,not present,not present,"Sidewalk: left. Road: right. RoadVsSidewalk: right_of. Nearby: an obstacle close on the center; a car close on the center. Far: an obstacle farther away on the right; a car farther away on the left. Context: The sidewalk is centered in the view, bordered by a modern white building with large glass windows on the left and a red brick building on the right. A lamppost stands approximately 5 meters ahead on the right side. The path is clear for next 10 meters."
testing/images/0130.jpg,"The cobblestone pathway is centered, leading towards a building with a red roof. On both sides, outdoor seating with white chairs and tables is arranged under large umbrellas. A few pedestrians are walking along the path. The path appears clear for navigation.",test,0130.jpg,done,Left,Not present,Yes,Yes,not present,not present,Left-Center,not present,not present,Right,not present,not present,not present,not present,not present,not present,Right,not present,Right-Left,not present,not present,Left,"Sidewalk: left. Road: unknown. RoadVsSidewalk: unknown. Nearby: an obstacle close on the right; 2 people close on the left and center. Far: 2 obstacles farther away on the left and right; a traffic sign farther away on the right. Context: The cobblestone pathway is centered, leading towards a building with a red roof. On both sides, outdoor seating with white chairs and tables is arranged under large umbrellas. A few pedestrians are walking along the path. The path appears clear for navigation."
testing/images/0132.jpg,"The sidewalk is centered in the view, bordered by a row of parked cars on the left and a metal railing with a tree on the right. There is a chair and table obstructing the path. A red and white traffic sign stands approximately 5 meters ahead, partially obstructing the path.",test,0132.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,Right,not present,Right,not present,not present,not present,not present,Left,not present,not present,not present,Right,Right,not present,not present,"Sidewalk: center. Road: left. RoadVsSidewalk: left_of. Nearby: an obstacle close on the right; a traffic sign close on the right. Far: an obstacle farther away on the right; a car farther away on the left. Context: The sidewalk is centered in the view, bordered by a row of parked cars on the left and a metal railing with a tree on the right. There is a chair and table obstructing the path. A red and white traffic sign stands approximately 5 meters ahead, partially obstructing the path."
testing/images/0165.jpg,"The sidewalk is centered in the view, bordered by a building on the right and a wall with outdoor seating on the left. A pole stands on the left side, 3 meters ahead. The path is clear for next 10 meters.",test,0165.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,Left,not present,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: an obstacle close on the center. Far: an obstacle farther away on the left. Context: The sidewalk is centered in the view, bordered by a building on the right and a wall with outdoor seating on the left. A pole stands on the left side, 3 meters ahead. The path is clear for next 10 meters."
testing/images/0180.jpg,"The sidewalk is centered in the view, bordered by a wall on the right and a road with bollards on the left. The path is clear for next 10 meters.",test,0180.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,Left,not present,Center-Right,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: left. RoadVsSidewalk: left_of. Nearby: 2 obstacles close on the center and right; a traffic sign close on the left. Far: a car farther away on the left. Context: The sidewalk is centered in the view, bordered by a wall on the right and a road with bollards on the left. The path is clear for next 10 meters."
testing/images/0184.jpg,"The sidewalk is centered in the view, bordered by a road on the left and outdoor seating on the right. A traffic light pole stands approximately 10 meters ahead, partially obstructing the path. The path appears clear for navigation.",test,0184.jpg,done,Center,Left,Yes,No,not present,not present,not present,Right,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: left. RoadVsSidewalk: left_of. Nearby: an obstacle close on the right; a traffic sign close on the right. Context: The sidewalk is centered in the view, bordered by a road on the left and outdoor seating on the right. A traffic light pole stands approximately 10 meters ahead, partially obstructing the path. The path appears clear for navigation."
testing/images/0205.jpg,"The sidewalk is centered in the view, bordered by grass on both sides. A speed limit sign stands approximately 5 meters ahead on the left side. The path is clear for next 10 meters.",test,0205.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left,not present,Left,not present,not present,Left-Right,Right,Left,"Sidewalk: center. Road: left. RoadVsSidewalk: left_of. Nearby: no important close objects visible. Far: 2 cars farther away on the left; a traffic sign farther away on the left. Context: The sidewalk is centered in the view, bordered by grass on both sides. A speed limit sign stands approximately 5 meters ahead on the left side. The path is clear for next 10 meters."
testing/images/0210.jpg,"The sidewalk is centered in the view, bordered by a concrete wall on the left and a road on the right. A bus stop sign stands approximately 10 meters ahead on the left side. The path is clear for next 10 meters.",test,0210.jpg,done,Right,Right,Yes,Yes,not present,not present,Right,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,Left,"Sidewalk: right. Road: right. RoadVsSidewalk: unknown. Nearby: a person close on the right; a traffic sign close on the center. Context: The sidewalk is centered in the view, bordered by a concrete wall on the left and a road on the right. A bus stop sign stands approximately 10 meters ahead on the left side. The path is clear for next 10 meters."
testing/images/0220.jpg,"The sidewalk is centered in the view, bordered by a tall fence on the left and a grassy area with trees on the right. The path is clear for next 10 meters.",test,0220.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,Right,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: no important close objects visible. Context: The sidewalk is centered in the view, bordered by a tall fence on the left and a grassy area with trees on the right. The path is clear for next 10 meters."
testing/images/0234.jpg,"The sidewalk is centered in the view, bordered by a metal railing on the right side and a road on the left. A bus stop sign is mounted on a pole approximately 5 meters ahead on the left. The path is clear for next 10 meters.",test,0234.jpg,done,Left,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left,not present,Left,not present,not present,not present,not present,not present,"Sidewalk: left. Road: left. RoadVsSidewalk: unknown. Nearby: no important close objects visible. Far: 2 cars farther away on the left; a traffic sign farther away on the left. Context: The sidewalk is centered in the view, bordered by a metal railing on the right side and a road on the left. A bus stop sign is mounted on a pole approximately 5 meters ahead on the left. The path is clear for next 10 meters."
testing/images/0244.jpg,"The sidewalk is centered in the view, bordered by a white van on the left and a wooden fence on the right. The path is narrow and clear for next 10 meters.",test,0244.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: no important close objects visible. Far: a car farther away on the left. Context: The sidewalk is centered in the view, bordered by a white van on the left and a wooden fence on the right. The path is narrow and clear for next 10 meters."
testing/images/0253.jpg,"The sidewalk is centered in the view, bordered by hedges on the right side and a road on the left. A utility box stands approximately 3 meters ahead on the right, partially obstructing the path. The path remains clear for navigation.",test,0253.jpg,done,Left,Left,Yes,Yes,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,Left,not present,not present,not present,Right,not present,Right,Right,"Sidewalk: left. Road: left. RoadVsSidewalk: unknown. Nearby: an obstacle close on the center. Far: an obstacle farther away on the right; a car farther away on the left. Context: The sidewalk is centered in the view, bordered by hedges on the right side and a road on the left. A utility box stands approximately 3 meters ahead on the right, partially obstructing the path. The path remains clear for navigation."
testing/images/0283.jpg,"The sidewalk is centered in the view, leading towards a pedestrian crossing under a bridge. A cyclist is riding along the road on the left side, approximately 10 meters ahead. The path is clear for next 10 meters.",test,0283.jpg,done,Center,Left,Yes,Yes,Left,not present,Left,not present,not present,not present,not present,not present,not present,not present,Left,not present,Left-Right,not present,not present,Left-Right,not present,not present,"Sidewalk: center. Road: left. RoadVsSidewalk: left_of. Nearby: a person close on the left; a bicycle close on the left. Far: a car farther away on the left; 2 traffic signs farther away on the left and right. Context: The sidewalk is centered in the view, leading towards a pedestrian crossing under a bridge. A cyclist is riding along the road on the left side, approximately 10 meters ahead. The path is clear for next 10 meters."
testing/images/0290.jpg,"The sidewalk is centered in the view, bordered by hedges on the left and a bike lane on the right. A pedestrian and bicycle sign stands approximately 3 meters ahead on the left side. The path appears clear for next 10 meters.",test,0290.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,Right,not present,Left,Left,"Sidewalk: center. Road: right. RoadVsSidewalk: right_of. Nearby: a traffic sign close on the left. Far: an obstacle farther away on the right; a car farther away on the right. Context: The sidewalk is centered in the view, bordered by hedges on the left and a bike lane on the right. A pedestrian and bicycle sign stands approximately 3 meters ahead on the left side. The path appears clear for next 10 meters."
testing/images/0292.jpg,"The sidewalk is centered in the view, bordered by hedges on the left and a road on the right. A pedestrian and cyclist sign stands approximately 3 meters ahead on the left side. The path appears clear for next 10 meters.",test,0292.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,Right,not present,Left,Left,"Sidewalk: center. Road: right. RoadVsSidewalk: right_of. Nearby: a traffic sign close on the left. Far: an obstacle farther away on the right; a car farther away on the right. Context: The sidewalk is centered in the view, bordered by hedges on the left and a road on the right. A pedestrian and cyclist sign stands approximately 3 meters ahead on the left side. The path appears clear for next 10 meters."
testing/images/0293.jpg,"The sidewalk is centered in the view, bordered by hedges on the left and a bike lane on the right. A pole with a pedestrian and bicycle sign stands approximately 2 meters ahead, partially obstructing the path. The path remains clear for navigation.",test,0293.jpg,done,Right,Not present,Yes,Yes,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Center-Left,Right,"Sidewalk: right. Road: unknown. RoadVsSidewalk: unknown. Nearby: a traffic sign close on the center. Context: The sidewalk is centered in the view, bordered by hedges on the left and a bike lane on the right. A pole with a pedestrian and bicycle sign stands approximately 2 meters ahead, partially obstructing the path. The path remains clear for navigation."
testing/images/0298.jpg,"The sidewalk is centered in the view, leading towards a large building with columns and windows. A tree stands on the right side, partially blocking the path. The path is clear for next 10 meters.",test,0298.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,Left-Right,not present,not present,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: no important close objects visible. Context: The sidewalk is centered in the view, leading towards a large building with columns and windows. A tree stands on the right side, partially blocking the path. The path is clear for next 10 meters."
testing/images/0305.jpg,"The sidewalk is centered in the view, bordered by a construction site with a fence on the left and a road on the right. A traffic cone is placed approximately 5 meters ahead, partially obstructing the path. The sidewalk appears clear for navigation.",test,0305.jpg,done,Center,Right,Yes,No,not present,not present,not present,not present,not present,Center-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: right. RoadVsSidewalk: right_of. Nearby: 2 obstacles close on the center and right. Context: The sidewalk is centered in the view, bordered by a construction site with a fence on the left and a road on the right. A traffic cone is placed approximately 5 meters ahead, partially obstructing the path. The sidewalk appears clear for navigation."
testing/images/0313.jpg,"The sidewalk is centered in the view, with a manhole cover embedded in the path approximately 3 meters ahead. On the right side, a pole stands near the edge of the path. The path is clear for navigation.",test,0313.jpg,done,Center,Not present,Yes,Yes,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Left-Right,Left-Right,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: a person close on the center. Far: an obstacle farther away on the right. Context: The sidewalk is centered in the view, with a manhole cover embedded in the path approximately 3 meters ahead. On the right side, a pole stands near the edge of the path. The path is clear for navigation."
testing/images/0330.jpg,"The sidewalk is centered in the view, bordered by construction barriers with orange traffic lights on the right side. A tree stands on the left 5 meters ahead. The path is narrow and uneven, requiring caution while walking.",test,0330.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Center,not present,not present,not present,Left-Right-Center,not present,not present,not present,"Sidewalk: center. Road: left. RoadVsSidewalk: left_of. Nearby: no important close objects visible. Far: 3 obstacles farther away across the left, center, and right; a car farther away on the center. Context: The sidewalk is centered in the view, bordered by construction barriers with orange traffic lights on the right side. A tree stands on the left 5 meters ahead. The path is narrow and uneven, requiring caution while walking."
testing/images/0352.jpg,"The sidewalk is centered in the view, bordered by grass on both sides. A wooden bench is positioned on the right side, 3 meters away. The path is clear for next 10 meters.",test,0352.jpg,done,Center,Not present,Yes,Yes,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,Left-Right,not present,Left,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: a person close on the center. Far: an obstacle farther away on the right. Context: The sidewalk is centered in the view, bordered by grass on both sides. A wooden bench is positioned on the right side, 3 meters away. The path is clear for next 10 meters."
testing/images/0371.jpg,"The sidewalk is centered in the view, bordered by a grassy area with trees on the left and a road on the right. A pole stands approximately 2 meters ahead on the left side, partially obstructing the path. The path appears clear for navigation.",test,0371.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,Right,not present,not present,not present,Left,Left,Left,Left,"Sidewalk: center. Road: right. RoadVsSidewalk: right_of. Nearby: an obstacle close on the center. Far: an obstacle farther away on the left; a car farther away on the right. Context: The sidewalk is centered in the view, bordered by a grassy area with trees on the left and a road on the right. A pole stands approximately 2 meters ahead on the left side, partially obstructing the path. The path appears clear for navigation."
testing/images/0383.jpg,The sidewalk is centered under a covered walkway supported by large columns on both sides. The path is clear for next 10 meters.,test,0383.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: no important close objects visible. Context: The sidewalk is centered under a covered walkway supported by large columns on both sides. The path is clear for next 10 meters.
testing/images/0386.jpg,"The sidewalk is centered in the view, bordered by a building on the left and a road on the right. A traffic light pole stands approximately 10 meters ahead, with a pedestrian crossing marked by a blue circular sign. The path is clear for next 10 meters.",test,0386.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,not present,Right-Center,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: an obstacle close on the left; 2 traffic lights close on the center and right. Context: The sidewalk is centered in the view, bordered by a building on the left and a road on the right. A traffic light pole stands approximately 10 meters ahead, with a pedestrian crossing marked by a blue circular sign. The path is clear for next 10 meters."
testing/images/0390.jpg,"The sidewalk is centered in the view, bordered by a bus shelter on the right side. A fire hydrant stands approximately 10 meters ahead on the left side. The path is clear for next 10 meters.",test,0390.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,not present,not present,Right-Left,not present,not present,Center,not present,Left,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: left. RoadVsSidewalk: left_of. Nearby: 2 obstacles close on the left and right. Far: a car farther away on the left. Context: The sidewalk is centered in the view, bordered by a bus shelter on the right side. A fire hydrant stands approximately 10 meters ahead on the left side. The path is clear for next 10 meters."
testing/images/0391.jpg,"The sidewalk is centered in the view, bordered by a tree on the right and parked cars on the left. A speed limit sign is mounted on a pole approximately 3 meters ahead, partially obstructing the path. The path appears clear for navigation.",test,0391.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,Right,not present,Right,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: a traffic sign close on the left. Far: 2 cars farther away on the left. Context: The sidewalk is centered in the view, bordered by a tree on the right and parked cars on the left. A speed limit sign is mounted on a pole approximately 3 meters ahead, partially obstructing the path. The path appears clear for navigation."
testing/images/0398.jpg,"The sidewalk is centered in the view, bordered by a metal fence with dense greenery on the left side and parked cars on the right. The path is narrow but clear for navigation.",test,0398.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,Left,Left,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: no important close objects visible. Far: 2 cars farther away on the right. Context: The sidewalk is centered in the view, bordered by a metal fence with dense greenery on the left side and parked cars on the right. The path is narrow but clear for navigation."
testing/images/0413.jpg,"The sidewalk is centered under a covered walkway supported by blue pillars. On both sides, metal railings border the path. The path is clear for next 10 meters.",test,0413.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: an obstacle close on the left. Context: The sidewalk is centered under a covered walkway supported by blue pillars. On both sides, metal railings border the path. The path is clear for next 10 meters."
testing/images/0414.jpg,"The sidewalk is centered under a covered walkway supported by blue pillars. On both sides, metal railings border the path. The path is clear for next 10 meters.",test,0414.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: no important close objects visible. Context: The sidewalk is centered under a covered walkway supported by blue pillars. On both sides, metal railings border the path. The path is clear for next 10 meters."
testing/images/0419.jpg,"The sidewalk is centered in the view, bordered by a row of parked e-scooters on the right side and a pedestrian crossing on the left. A few pedestrians are walking along the path. The path appears clear for navigation.",test,0419.jpg,done,Center,Left,Yes,No,not present,not present,Left-Left,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: left. RoadVsSidewalk: left_of. Nearby: an obstacle close on the center; 2 people close on the left. Context: The sidewalk is centered in the view, bordered by a row of parked e-scooters on the right side and a pedestrian crossing on the left. A few pedestrians are walking along the path. The path appears clear for navigation."
testing/images/0436.jpg,"The sidewalk is centered in the view, bordered by a building on the left and a road on the right. A few bicycles are parked against the wall on the left side, 5 meters ahead. The path is clear for next 10 meters.",test,0436.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: right. RoadVsSidewalk: right_of. Nearby: no important close objects visible. Far: 3 bicycles farther away on the left. Context: The sidewalk is centered in the view, bordered by a building on the left and a road on the right. A few bicycles are parked against the wall on the left side, 5 meters ahead. The path is clear for next 10 meters."
testing/images/0439.jpg,"The sidewalk is in the center, bordered by buildings on the right and a road with a bus on the left. Several bicycles are parked along the wall on the right side. The path ahead is clear for about 10 meters.",test,0439.jpg,done,Right,Left,Yes,Yes,Right-Right,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: right. Road: left. RoadVsSidewalk: left_of. Nearby: 2 people close on the right; 2 bicycles close on the right. Far: a car farther away on the left. Context: The sidewalk is in the center, bordered by buildings on the right and a road with a bus on the left. Several bicycles are parked along the wall on the right side. The path ahead is clear for about 10 meters."
