image,status,sidewalk_pos,road_pos,Object_present,Object_present_outside,m_bicycle,m_car,m_person,m_traffic_sign,traffic_light,m_obstacle,m_grass,m_plants,m_trees,m_bicycle_outside,m_car_outside,m_person_outside,m_traffic_sign_outside,traffic_light_outside,m_obstacle_outside,m_grass_outside,m_plants_outside,m_trees_outside
0097.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Left-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0098.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present
0099.jpg,done,Outside,Front,Yes,No,not present,not present,not present,not present,not present,Center-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0100.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present
0095.jpg,done,Right,Left,Yes,No,not present,Center,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0101.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0103.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Center-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0104.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0105.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,Left,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0106.jpg,done,Outside,Left,Yes,No,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0102.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,Left,not present,Left-Right,not present,not present,Left
0109.jpg,done,Center,Right,Yes,No,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0110.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0111.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0112.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,Left,not present,Left,not present
0113.jpg,done,Left,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,Right
0114.jpg,done,Center,Not present,Yes,No,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0115.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0116.jpg,done,Center,Not present,Yes,No,Right,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0117.jpg,done,Center,Right,Yes,Yes,Right,not present,Center-Left,not present,not present,Left,not present,not present,not present,not present,Right,not present,Right,not present,not present,not present,not present,not present
0118.jpg,done,Outside,Right,Yes,No,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0119.jpg,done,Right,Left,Yes,Yes,not present,not present,Center-Right,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,Right-Left,not present,not present,not present
0120.jpg,done,Center,Left,Yes,Yes,not present,not present,Center,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present
0121.jpg,done,Center,Not present,Yes,No,not present,not present,Center,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0122.jpg,done,Left,Right,Yes,Yes,not present,Center,not present,not present,not present,Center,not present,Right,not present,not present,Left,not present,not present,not present,Right,not present,not present,not present
0123.jpg,done,Center,Not present,Yes,Yes,not present,Right,Right,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0124.jpg,done,Center,Not present,Yes,Yes,not present,not present,Center-Right-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,Right
0125.jpg,done,Center,Not present,Yes,Yes,not present,not present,Center-Right,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,Left-Right
0126.jpg,done,Center,Not present,Yes,Yes,not present,not present,Center,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,Left-Right
0108.jpg,done,Right,Left,Yes,Yes,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,Right,not present,not present,not present
0128.jpg,done,Right,Not present,Yes,Yes,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,Left
0129.jpg,done,Right,Left,Yes,Yes,not present,not present,not present,not present,not present,Right-Center,not present,Right,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0130.jpg,done,Left,Not present,Yes,Yes,not present,not present,Left-Center,not present,not present,Right,not present,not present,not present,not present,not present,not present,Right,not present,Right-Left,not present,not present,Left
0131.jpg,done,Left,Front,Yes,Yes,not present,not present,not present,not present,not present,Center,not present,Center,not present,not present,Right,not present,Right,not present,not present,not present,not present,not present
0132.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,Right,not present,Right,not present,not present,not present,not present,Left,not present,not present,not present,Right,Right,not present,not present
0133.jpg,done,Right,Left,Yes,Yes,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0134.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0135.jpg,done,Outside,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Center-Left,not present,not present,Center
0127.jpg,done,Center,Not present,Yes,No,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0137.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0139.jpg,done,Left,Not present,Yes,Yes,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,Left
0140.jpg,done,Outside,Front,Yes,No,not present,not present,not present,not present,not present,Center-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0142.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,Right,not present,not present,Left
0143.jpg,done,Right,Front,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present
0144.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,Left
0145.jpg,done,Center,Not present,Yes,Yes,not present,not present,Center-Right,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present
0147.jpg,done,Center,Not present,Yes,Yes,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,not present,not present
0148.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present
0149.jpg,done,Center,Not present,Yes,Yes,Right-Right-Right,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present
0150.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Center-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0151.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Center-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0152.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,Left,not present
0153.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0154.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0155.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0156.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0157.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0158.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present
0159.jpg,done,Right,Not present,Yes,Yes,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Center
0160.jpg,done,Right,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0162.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0163.jpg,done,Outside,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0165.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,Left,not present
0166.jpg,done,Right,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,not present,not present
0167.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,not present,not present,Left-Right,not present,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,Left-Right,not present
0168.jpg,done,Left,Front,Yes,Yes,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0169.jpg,done,Left,Front,Yes,Yes,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0170.jpg,done,Right,Left,Yes,No,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0171.jpg,done,Right,Front,Yes,No,not present,Right,not present,not present,not present,Right,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present
0172.jpg,done,Center,Left,Yes,No,not present,Right,Center-Center,not present,Left,Left-Left-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0173.jpg,done,Center,Left,Yes,No,not present,not present,Center-Center-Center,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0174.jpg,done,Left,Not present,Yes,Yes,not present,Left,Left,not present,not present,Center-Left,Right,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0175.jpg,done,Center,Left,Yes,No,not present,Center,Center,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0176.jpg,done,Center,Left,Yes,No,Left,not present,Right,Left,not present,Left,not present,not present,Left-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present
0177.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,not present,Left,Right-Left,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0179.jpg,done,Right,Not present,Yes,Yes,not present,not present,Right,not present,not present,Center,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0180.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,Left,not present,Center-Right,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0181.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,Left,not present,not present,not present,not present,not present
0182.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,Left,not present,Left,not present,not present,Left,not present,Left,not present,not present,not present,not present,not present,not present,not present
0183.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0184.jpg,done,Center,Left,Yes,No,not present,not present,not present,Right,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0185.jpg,done,Center,Left,Yes,Yes,not present,Left-Left-Center,Center,Left,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0186.jpg,done,Right,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,Right,not present,Right,not present,not present,not present,not present,not present
